rank,molport_number,smiles,combined_score,boltz_prob_mean,boltz_pred_value_mean,passes_confidence,mw,heavy_atoms,num_atoms,logp,hbd,hba,rotatable_bonds,pains
1,MolPort-023-299-011,CC#CC#Cc1ccc(s1)C#CC(O)CCl,-0.1101953417062759,0.713908851146698,-0.0388044565916061,True,248.73399999999995,16,16,2.0741,1,2,1,False
2,MolPort-029-887-087,COc1cc(O)ccc1C(=O)\C=C\c1ccc(O)c(O)c1,-0.053587478026747716,0.6574956178665161,0.0121620837599039,True,286.283,21,21,2.7081000000000017,3,5,4,True
3,MolPort-005-945-020,CC(C)=CC(=O)OC1C2OC(=O)C(=C)C2C(O)C2C(C)=CC(=O)C2=C1C,0.19250153402487435,0.6015516420205435,0.2526566982269287,True,358.39000000000016,26,26,1.7984,1,6,2,False
4,MolPort-019-937-493,O[C@H]1CO[C@H](COC(=O)c2cc(O)c(O)c(O)c2)[C@@H](O)[C@@H]1O,0.424521842598915,0.6453318496545156,0.4890550275643666,True,316.262,22,22,-1.5583000000000005,6,9,3,True
5,MolPort-001-797-985,COc1cccc2c1cc([N+]([O-])=O)c1c(cc3OCOc3c21)C(O)=O,0.5806796178221703,0.6456199288368225,0.6452416107058525,True,341.2750000000001,25,25,3.336700000000002,1,6,3,False
6,MolPort-044-831-090,OC1CC(O)c2ccccc2C1O,0.6202472388744354,0.6695714195569357,0.687204380830129,True,180.203,13,13,0.518,3,3,0,False
7,MolPort-027-720-871,O[C@@H]1C=CC2=CC(=O)O[C@@H]2[C@H]1O,0.7138477802276612,0.6996968984603882,0.7838174700737,True,168.148,12,12,-0.8702000000000001,2,4,0,False
8,MolPort-029-943-067,Oc1cc(O)c2C(=O)C[C@H](Oc2c1)c1c(O)cccc1O,0.7367847084999084,0.616187334060669,0.7984034419059753,True,288.255,21,21,2.2155,4,6,1,False
9,MolPort-001-739-339,OC(=O)c1cc(O)c2C(=O)c3c(O)cc(O)cc3C(=O)c2c1,0.7379612803459168,0.6488008499145508,0.8028413653373718,True,300.22200000000004,22,22,1.277,4,6,1,True
10,MolPort-000-871-937,Oc1ccc(O)cc1,1.3034936795632044,0.6582599778970083,1.3693196773529053,True,110.11199999999998,8,8,1.0978,2,2,0,False
11,MolPort-001-739-452,CCC(O)CC1CCC(O1)C(C)C(=O)OC(CC)CC1CCC(O1)C(C)C(O)=O,999.0,0.1603361964225769,0.1128820305069287,False,414.5390000000002,29,29,3.311300000000002,2,6,11,False
12,MolPort-001-739-792,CC(O)\C=C\C1OC(=O)CC1Nc1ccc(C=O)cc1,999.0,0.4947982927163442,1.0749438206354778,False,275.304,20,20,1.5321,2,5,5,False
13,MolPort-000-769-536,COc1c(O)cc2c3c1oc(=O)c1cc(O)c(OC)c(oc2=O)c31,999.0,0.5068492889404297,1.4416830937067668,False,330.2480000000001,24,24,1.9188,2,8,2,False
