rank,molport_number,smiles,combined_score,boltz_prob_mean,boltz_pred_value_mean,passes_confidence,mw,heavy_atoms,num_atoms,logp,hbd,hba,rotatable_bonds,pains
66,MolPort-029-943-145,Cc1oc(=O)ccc1CCCC(O)=O,999.0,0.5172528227170309,1.7123202880223591,False,196.202,14,14,1.35552,1,3,4,False
67,MolPort-035-705-726,COc1cnc(C=C)c2[nH]c3c(O)cccc3c12,999.0,0.5190474987030029,0.3214374830325444,False,240.262,18,18,3.073300000000001,2,3,2,False
68,MolPort-035-705-662,COC(=O)N1c2ccccc2[C@]23CC(=O)C[C@@]4(CCCN(C=O)[C@H]24)CC[C@]13C(=O)OC,999.0,0.1840505301952362,1.454267144203186,False,426.4690000000002,31,31,2.1865,0,6,2,False
69,MolPort-035-705-856,CC(=O)O[C@@H](CC1=C(O)C(=O)OC1)[C@]1(C)[C@H]2CCC=C(C)[C@]2(C)[C@@H](OC(=O)c2cccnc2)[C@H](O)[C@]1(C)O,999.0,0.294372687737147,0.8014874259630839,False,529.5860000000002,38,38,2.792100000000002,3,10,6,False
70,MolPort-035-706-063,COc1cc(\C=C\CO[C@@H]2O[C@H](CO)[C@@H](O)[C@H](O)[C@H]2O)cc2[C@@H](CO)[C@@H](Oc12)c1ccc(OC)c(OC)c1,999.0,0.1266194408138593,0.5960772732893626,False,534.5580000000003,38,38,0.7516999999999987,5,11,10,False
71,MolPort-035-706-067,COc1cc(ccc1O)[C@H](O)[C@@H](COC(=O)\C=C\c1ccc(O)cc1)Oc1c(OC)cc(\C=C\COC(=O)\C=C\c2ccc(O)cc2)cc1OC,999.0,0.3279125193754832,0.0091716647148132,False,698.7210000000002,51,51,5.836600000000006,4,12,16,False
72,MolPort-035-705-811,CC(C)(O)[C@@H](COc1c2occc2cc2ccc(=O)oc12)OC(C)(C)[C@H](O)COc1c2occc2cc2ccc(=O)oc12,999.0,0.1971839368343353,0.5538435528675715,False,590.5810000000004,43,43,5.145200000000005,2,11,10,False
73,MolPort-035-706-238,CC(=O)O[C@@H]1C\C(C)=C\CC\C(C)=C\[C@H]2OC(=O)C(=C)[C@H]12,999.0,0.21415576338768,0.343388677885135,False,290.35900000000004,21,21,3.0924000000000014,0,4,1,False
74,MolPort-035-706-324,CC(C)[C@H]1CC[C@H]2[C@@]1(C)CC[C@@]1(C)[C@@H]3CC[C@H]4C(C)(C)[C@@H](O)CC[C@]4(C)C3=CC[C@]21C,999.0,0.1093147819240887,1.1720947821935015,False,426.7290000000002,31,31,8.02480000000001,1,1,1,False
75,MolPort-035-706-378,CC(=C)[C@@H]1CC[C@@]2(CC[C@]3(C)[C@H](CC[C@@H]4[C@@]5(C)CC(=O)C(C)(C)[C@@H]5CC[C@@]34C)[C@@H]12)C(O)=O,999.0,0.1159019296367963,1.4105897347132366,False,440.6680000000003,32,32,6.907600000000007,1,2,2,False
76,MolPort-035-706-518,C[C@@H](O)[C@H]1CC[C@H]2[C@@H]3C=CC4=CC(=O)CC[C@]4(C)[C@H]3CC(=O)[C@]12C,999.0,0.1637359907229741,0.5392111341158549,False,328.4520000000001,24,24,3.4703000000000026,1,3,1,False
77,MolPort-039-052-268,C[C@@]12C[C@@]3(O)OC(O1)[C@]1(COC(=O)c4ccccc4)[C@H]3C[C@]21O[C@@H]1O[C@H](CO)[C@@H](O)[C@H](O)[C@H]1O,999.0,0.2485220730304718,0.657575915257136,False,480.4660000000002,34,34,-1.3574999999999986,5,11,6,False
78,MolPort-039-052-291,COc1c2OCOc2cc2C[C@H](C)[C@H](C)Cc3cc4OCOc4c(OC)c3-c12,999.0,0.1736737340688705,1.7001243829727173,False,384.4280000000002,28,28,4.199000000000003,0,6,2,False
