rank,molport_number,smiles,combined_score,boltz_prob_mean,boltz_pred_value_mean,passes_confidence,mw,heavy_atoms,num_atoms,logp,hbd,hba,rotatable_bonds,pains
1,MolPort-005-944-443,C\C=C(/C)C1C=CC2CC(C)CC(C)C2C1C(=O)C1=C(O)C(CC(C)(O)C(O)=O)NC1=O,-0.9346070269743602,0.6314839720726013,-0.8714586297671,True,445.5560000000002,32,32,3.1585000000000005,4,5,6,False
2,MolPort-005-945-020,CC(C)=CC(=O)OC1C2OC(=O)C(=C)C2C(O)C2C(C)=CC(=O)C2=C1C,-0.5114576121171315,0.6472711761792501,-0.4467304944992065,True,358.39000000000016,26,26,1.7984,1,6,2,False
3,MolPort-029-887-087,COc1cc(O)ccc1C(=O)\C=C\c1ccc(O)c(O)c1,0.1321490218242009,0.6537303725878397,0.1975220590829849,True,286.283,21,21,2.7081000000000017,3,5,4,True
4,MolPort-029-943-067,Oc1cc(O)c2C(=O)C[C@H](Oc2c1)c1c(O)cccc1O,0.1571579029162725,0.6199921170870463,0.2191571146249771,True,288.255,21,21,2.2155,4,6,1,False
5,MolPort-001-739-339,OC(=O)c1cc(O)c2C(=O)c3c(O)cc(O)cc3C(=O)c2c1,0.5955874204635621,0.6827576160430908,0.6638631820678711,True,300.22200000000004,22,22,1.277,4,6,1,True
6,MolPort-001-797-985,COc1cccc2c1cc([N+]([O-])=O)c1c(cc3OCOc3c21)C(O)=O,0.7735199550787607,0.6605090498924255,0.8395708600680033,True,341.2750000000001,25,25,3.336700000000002,1,6,3,False
7,MolPort-000-769-536,COc1c(O)cc2c3c1oc(=O)c1cc(O)c(OC)c(oc2=O)c31,1.075334284702937,0.6676557262738546,1.1420998573303225,True,330.2480000000001,24,24,1.9188,2,8,2,False
8,MolPort-035-705-726,COc1cnc(C=C)c2[nH]c3c(O)cccc3c12,1.2092124501864117,0.6185044050216675,1.2710628906885784,True,240.262,18,18,3.073300000000001,2,3,2,False
9,MolPort-000-871-937,Oc1ccc(O)cc1,1.6062928100426992,0.6825363039970398,1.674546440442403,True,110.11199999999998,8,8,1.0978,2,2,0,False
10,MolPort-001-739-452,CCC(O)CC1CCC(O1)C(C)C(=O)OC(CC)CC1CCC(O1)C(C)C(O)=O,999.0,0.1497755646705627,-0.1240305602550506,False,414.5390000000002,29,29,3.311300000000002,2,6,11,False
11,MolPort-001-740-516,CC(CCc1ccc(O)cc1)O[C@@H]1O[C@H](CO[C@@H]2OC(CO)[C@H](O)[C@H]2O)[C@@H](O)[C@H](O)[C@H]1O,999.0,0.1733973498145739,0.3596254289150238,False,460.4760000000001,32,32,-2.0068999999999986,7,11,9,False
12,MolPort-001-739-792,CC(O)\C=C\C1OC(=O)CC1Nc1ccc(C=O)cc1,999.0,0.59572105606397,-0.1916373670101165,False,275.304,20,20,1.5321,2,5,5,False
13,MolPort-000-165-376,COc1cc(O)c2C(=O)CC(Oc2c1)c1ccc(O)cc1,999.0,0.5654167930285136,0.887691875298818,False,286.283,21,21,2.812900000000001,2,5,2,False
14,MolPort-000-881-260,OC(=O)c1cc(O)c(O)c(O)c1,999.0,0.38040491938591,1.2320039669672649,False,170.11999999999998,12,12,0.5015999999999998,4,4,1,True
15,MolPort-001-739-244,CCCCCCCCCCC1C(=O)OC(C(O)=O)C1(O)C(O)=O,999.0,0.4962777197360992,-0.6751232196887335,False,330.37700000000007,23,23,1.9591,3,5,11,False
16,MolPort-001-740-814,C[C@]12CC[C@@H](O)C(=C)C1C[C@@H](CC2)C(=C)C(O)=O,999.0,0.2419560501972834,1.1729159752527871,False,250.338,18,18,2.760700000000001,2,2,2,False
17,MolPort-001-742-275,OC[C@H]1O[C@@H](OC[C@H]2O[C@@H](Oc3c(oc4cc(O)cc(O)c4c3=O)-c3ccc(O)cc3)[C@H](O)[C@@H](O)[C@@H]2O)[C@H](O)[C@@H](O)[C@@H]1O,999.0,0.3519617915153503,0.9878112028042476,False,610.5210000000004,43,43,-2.420300000000001,10,16,7,False
18,MolPort-001-742-474,COc1ccc2c(c1)oc(-c1ccccc1)c(O)c2=O,999.0,0.4380418062210083,1.63103187084198,False,268.26800000000003,20,20,3.174200000000002,1,4,2,False
19,MolPort-001-742-556,CC1(C)[C@@H]2CC[C@]3(C2)[C@H](CC[C@@H]3C1=C)C(O)=O,999.0,0.2178080379962921,1.492676297823588,False,234.339,17,17,3.479700000000002,1,1,1,False
20,MolPort-001-742-637,CC(=O)OC\C=C(/C)C(=O)OC1CC2(C)OC(=CC2=O)\C(C)=C\C2OC(=O)C(=C)C12,999.0,0.4136861463387807,0.3443587919076283,False,416.4260000000002,30,30,2.0973,0,8,4,False
21,MolPort-002-506-906,CC(=O)[C@H]1CC[C@H]2[C@@H]3CC=C4C[C@@H](O)CC[C@]4(C)[C@H]3CC[C@]12C,999.0,0.0865611943105856,0.6331264774004618,False,316.48500000000007,23,23,4.515300000000004,1,2,1,False
22,MolPort-002-507-209,C[C@H]1CC[C@H]2[C@H](C)[C@H]3CC[C@]4(O)[C@@H](C[C@H]5[C@H]4C[C@H](O)[C@H]4C[C@H](O)CC[C@]54C)[C@@H]3CN2C1,999.0,0.0955591922005017,0.8303805390993754,False,431.6610000000002,31,31,3.6781000000000015,3,4,0,False
23,MolPort-002-523-502,CN1CCc2c(C1)[nH]c1ccccc21,999.0,0.3914439429839452,0.5491667489210764,False,186.258,14,14,2.1558,1,1,0,True
