molecule_chembl_id,activity_value_nm,activity_type,relation,smiles,heavy_atoms
CHEMBL99736,7.0,Ki,=,Cc1cc(C)[n+](CC(=O)NCCC(=O)Nc2nnc(S(N)(=O)=O)s2)c(C)c1.[O-][Cl+3]([O-])([O-])[O-],32
CHEMBL542219,7.0,IC50,=,CCN(CC)Cc1cc(C(=O)c2csc(S(N)(=O)=O)c2)ccc1O.Cl,25
CHEMBL4098239,7.0,IC50,=,C[C@]12CC[C@@H]3c4ccc(O)cc4CC[C@H]3[C@@H]1CC[C@@H]2OC(=O)[C@@H]1CCCN1C(=O)c1coc(S(N)(=O)=O)c1,38
CHEMBL2092885,7.1,IC50,=,CCN[C@@H]1CCS(=O)(=O)c2sc(S(N)(=O)=O)cc21.Cl,19
CHEMBL348573,7.11,Ki,=,NS(=O)(=O)c1cc2c(s1)S(=O)(=O)CC(O)C2,16
CHEMBL544129,8.0,IC50,=,Cl.NS(=O)(=O)c1cc(S(=O)(=O)c2ccc(CNCc3ccccn3)cc2)cs1,28
CHEMBL431421,8.0,Ki,=,Cc1cc(C)[n+](CC(=O)Oc2ccc3nc(S(N)(=O)=O)sc3c2)c(C)c1.[O-][Cl+3]([O-])([O-])[O-],31
CHEMBL103478,8.0,Ki,=,CC(C)c1cc(-c2ccccc2)cc(C(C)C)[n+]1CC(=O)Oc1ccc2nc(S(N)(=O)=O)sc2c1.[O-][Cl+3]([O-])([O-])[O-],40
CHEMBL161205,8.0,Ki,=,NS(=O)(=O)c1nnc(NN2C(=O)c3cccnc3C2=O)s1,21
CHEMBL322014,8.0,IC50,=,CCCNCc1cc2cc(S(N)(=O)=O)oc2s1,17
CHEMBL165346,8.0,IC50,=,NS(=O)(=O)c1cc2ccccc2o1,13
CHEMBL344001,8.0,Ki,=,NS(=O)(=O)c1ccc(NS(=O)(=O)c2ccc(NS(=O)(=O)c3c(F)c(F)c(F)c(F)c3F)cc2)cc1,35
CHEMBL422825,8.0,Ki,=,NS(=O)(=O)c1cccc(NS(=O)(=O)c2ccc(NS(=O)(=O)c3c(F)c(F)c(F)c(F)c3F)cc2)c1,35
CHEMBL140306,8.0,Ki,=,NS(=O)(=O)c1nnc(NS(=O)(=O)c2ccc(NC(=O)c3c(F)c(F)c(F)c(F)c3F)cc2)s1,33
CHEMBL82643,8.0,IC50,=,NS(=O)(=O)c1nc2ccc(OC(=O)c3ccccc3)cc2s1,22
CHEMBL286862,8.0,Ki,=,NS(=O)(=O)c1ccc(CCNC(=O)CN(CCN(CCN(CC(=O)O)CC(=O)NCCc2ccc(S(N)(=O)=O)cc2)CC(=O)O)CC(=O)O)cc1,51
CHEMBL320436,8.0,Ki,=,Cc1cc(C)[n+](CC(=O)/N=c2/sc(S(N)(=O)=O)nn2C)c(C)c1.[O-][Cl+3]([O-])([O-])[O-],28
CHEMBL147726,8.0,Ki,=,NS(=O)(=O)c1ccc(N/C(S)=N/C(CC(=O)O)C(=O)O)cc1,22
CHEMBL105637,8.0,IC50,=,NS(=O)(=O)c1ccc(CCCCCO)cc1,16
CHEMBL342407,8.0,Ki,=,NS(=O)(=O)c1cc(S(N)(=O)=O)c(NS(=O)(=O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F)cc1Cl,32
CHEMBL319897,8.0,Ki,=,CC(C)c1cc(-c2ccccc2)cc(C(C)C)[n+]1CC(=O)/N=c1/sc(S(N)(=O)=O)nn1C.[O-][Cl+3]([O-])([O-])[O-],37
CHEMBL319486,8.0,Ki,=,Cc1cc(-c2ccccc2)cc(C)[n+]1CC(=O)Nc1ccc(S(=O)(=O)Nc2ccc(S(N)(=O)=O)cc2)cc1.[O-][Cl+3]([O-])([O-])[O-],43
CHEMBL103271,8.0,IC50,=,CCOCCNCc1cc2cc(S(N)(=O)=O)oc2s1,19
